Gene stable ID	Gene stable ID version	Human gene stable ID	Human gene name	Gene name	Gene description
ENSMUSG00000064370	ENSMUSG00000064370.1	ENSG00000198727	MT-CYB	mt-Cytb	mitochondrially encoded cytochrome b [Source:MGI Symbol;Acc:MGI:102501]
ENSMUSG00000094915	ENSMUSG00000094915.2	ENSG00000067066	SP100		
ENSMUSG00000094722	ENSMUSG00000094722.2	ENSG00000204501	PRAMEF15		
ENSMUSG00000094722	ENSMUSG00000094722.2	ENSG00000120952	PRAMEF2		
ENSMUSG00000094722	ENSMUSG00000094722.2	ENSG00000204505	PRAMEF9		
ENSMUSG00000094722	ENSMUSG00000094722.2	ENSG00000280267	PRAMEF26		
ENSMUSG00000094722	ENSMUSG00000094722.2	ENSG00000204479	PRAMEF17		
ENSMUSG00000094722	ENSMUSG00000094722.2	ENSG00000204480	PRAMEF19		
ENSMUSG00000094722	ENSMUSG00000094722.2	ENSG00000232423	PRAMEF6		
ENSMUSG00000094722	ENSMUSG00000094722.2	ENSG00000204478	PRAMEF20		
ENSMUSG00000094722	ENSMUSG00000094722.2	ENSG00000279804	PRAMEF18		
ENSMUSG00000094722	ENSMUSG00000094722.2	ENSG00000187545	PRAMEF10		
ENSMUSG00000094722	ENSMUSG00000094722.2	ENSG00000182330	PRAMEF8		
ENSMUSG00000094722	ENSMUSG00000094722.2	ENSG00000116721	PRAMEF1		
ENSMUSG00000094722	ENSMUSG00000094722.2	ENSG00000116726	PRAMEF12		
ENSMUSG00000094722	ENSMUSG00000094722.2	ENSG00000229571	PRAMEF25		
ENSMUSG00000094722	ENSMUSG00000094722.2	ENSG00000204481	PRAMEF14		
ENSMUSG00000094722	ENSMUSG00000094722.2	ENSG00000243073	PRAMEF4		
ENSMUSG00000094722	ENSMUSG00000094722.2	ENSG00000239810	PRAMEF11		
ENSMUSG00000094722	ENSMUSG00000094722.2	ENSG00000204510	PRAMEF7		
ENSMUSG00000094722	ENSMUSG00000094722.2	ENSG00000279169	PRAMEF13		
ENSMUSG00000094722	ENSMUSG00000094722.2	ENSG00000270601	PRAMEF5		
ENSMUSG00000094722	ENSMUSG00000094722.2	ENSG00000237700	PRAMEF33		
ENSMUSG00000094722	ENSMUSG00000094722.2	ENSG00000274764	PRAMEF27		
ENSMUSG00000094741	ENSMUSG00000094741.2	ENSG00000204501	PRAMEF15		
ENSMUSG00000094741	ENSMUSG00000094741.2	ENSG00000120952	PRAMEF2		
ENSMUSG00000094741	ENSMUSG00000094741.2	ENSG00000204505	PRAMEF9		
ENSMUSG00000094741	ENSMUSG00000094741.2	ENSG00000280267	PRAMEF26		
ENSMUSG00000094741	ENSMUSG00000094741.2	ENSG00000204479	PRAMEF17		
ENSMUSG00000094741	ENSMUSG00000094741.2	ENSG00000204480	PRAMEF19		
ENSMUSG00000094741	ENSMUSG00000094741.2	ENSG00000232423	PRAMEF6		
ENSMUSG00000094741	ENSMUSG00000094741.2	ENSG00000204478	PRAMEF20		
ENSMUSG00000094741	ENSMUSG00000094741.2	ENSG00000279804	PRAMEF18		
ENSMUSG00000094741	ENSMUSG00000094741.2	ENSG00000187545	PRAMEF10		
ENSMUSG00000094741	ENSMUSG00000094741.2	ENSG00000182330	PRAMEF8		
ENSMUSG00000094741	ENSMUSG00000094741.2	ENSG00000116721	PRAMEF1		
ENSMUSG00000094741	ENSMUSG00000094741.2	ENSG00000116726	PRAMEF12		
ENSMUSG00000094741	ENSMUSG00000094741.2	ENSG00000229571	PRAMEF25		
ENSMUSG00000094741	ENSMUSG00000094741.2	ENSG00000204481	PRAMEF14		
ENSMUSG00000094741	ENSMUSG00000094741.2	ENSG00000243073	PRAMEF4		
ENSMUSG00000094741	ENSMUSG00000094741.2	ENSG00000239810	PRAMEF11		
ENSMUSG00000094741	ENSMUSG00000094741.2	ENSG00000204510	PRAMEF7		
ENSMUSG00000094741	ENSMUSG00000094741.2	ENSG00000279169	PRAMEF13		
ENSMUSG00000094741	ENSMUSG00000094741.2	ENSG00000270601	PRAMEF5		
ENSMUSG00000094741	ENSMUSG00000094741.2	ENSG00000237700	PRAMEF33		
ENSMUSG00000094741	ENSMUSG00000094741.2	ENSG00000274764	PRAMEF27		
ENSMUSG00000095666	ENSMUSG00000095666.2	ENSG00000204501	PRAMEF15		
ENSMUSG00000095666	ENSMUSG00000095666.2	ENSG00000120952	PRAMEF2		
ENSMUSG00000095666	ENSMUSG00000095666.2	ENSG00000204505	PRAMEF9		
ENSMUSG00000095666	ENSMUSG00000095666.2	ENSG00000280267	PRAMEF26		
ENSMUSG00000095666	ENSMUSG00000095666.2	ENSG00000204479	PRAMEF17		
ENSMUSG00000095666	ENSMUSG00000095666.2	ENSG00000204480	PRAMEF19		
ENSMUSG00000095666	ENSMUSG00000095666.2	ENSG00000232423	PRAMEF6		
ENSMUSG00000095666	ENSMUSG00000095666.2	ENSG00000204478	PRAMEF20		
ENSMUSG00000095666	ENSMUSG00000095666.2	ENSG00000279804	PRAMEF18		
ENSMUSG00000095666	ENSMUSG00000095666.2	ENSG00000187545	PRAMEF10		
ENSMUSG00000095666	ENSMUSG00000095666.2	ENSG00000182330	PRAMEF8		
ENSMUSG00000095666	ENSMUSG00000095666.2	ENSG00000116721	PRAMEF1		
ENSMUSG00000095666	ENSMUSG00000095666.2	ENSG00000116726	PRAMEF12		
ENSMUSG00000095666	ENSMUSG00000095666.2	ENSG00000229571	PRAMEF25		
ENSMUSG00000095666	ENSMUSG00000095666.2	ENSG00000204481	PRAMEF14		
ENSMUSG00000095666	ENSMUSG00000095666.2	ENSG00000243073	PRAMEF4		
ENSMUSG00000095666	ENSMUSG00000095666.2	ENSG00000239810	PRAMEF11		
ENSMUSG00000095666	ENSMUSG00000095666.2	ENSG00000204510	PRAMEF7		
ENSMUSG00000095666	ENSMUSG00000095666.2	ENSG00000279169	PRAMEF13		
ENSMUSG00000095666	ENSMUSG00000095666.2	ENSG00000270601	PRAMEF5		
ENSMUSG00000095666	ENSMUSG00000095666.2	ENSG00000237700	PRAMEF33		
ENSMUSG00000095666	ENSMUSG00000095666.2	ENSG00000274764	PRAMEF27		
ENSMUSG00000095250	ENSMUSG00000095250.2	ENSG00000135899	SP110		
ENSMUSG00000094836	ENSMUSG00000094836.2	ENSG00000204501	PRAMEF15		
ENSMUSG00000094836	ENSMUSG00000094836.2	ENSG00000120952	PRAMEF2		
ENSMUSG00000094836	ENSMUSG00000094836.2	ENSG00000204505	PRAMEF9		
ENSMUSG00000094836	ENSMUSG00000094836.2	ENSG00000280267	PRAMEF26		
ENSMUSG00000094836	ENSMUSG00000094836.2	ENSG00000204479	PRAMEF17		
ENSMUSG00000094836	ENSMUSG00000094836.2	ENSG00000204480	PRAMEF19		
ENSMUSG00000094836	ENSMUSG00000094836.2	ENSG00000232423	PRAMEF6		
ENSMUSG00000094836	ENSMUSG00000094836.2	ENSG00000204478	PRAMEF20		
ENSMUSG00000094836	ENSMUSG00000094836.2	ENSG00000279804	PRAMEF18		
ENSMUSG00000094836	ENSMUSG00000094836.2	ENSG00000187545	PRAMEF10		
ENSMUSG00000094836	ENSMUSG00000094836.2	ENSG00000182330	PRAMEF8		
ENSMUSG00000094836	ENSMUSG00000094836.2	ENSG00000116721	PRAMEF1		
ENSMUSG00000094836	ENSMUSG00000094836.2	ENSG00000116726	PRAMEF12		
ENSMUSG00000094836	ENSMUSG00000094836.2	ENSG00000229571	PRAMEF25		
ENSMUSG00000094836	ENSMUSG00000094836.2	ENSG00000204481	PRAMEF14		
ENSMUSG00000094836	ENSMUSG00000094836.2	ENSG00000243073	PRAMEF4		
ENSMUSG00000094836	ENSMUSG00000094836.2	ENSG00000239810	PRAMEF11		
ENSMUSG00000094836	ENSMUSG00000094836.2	ENSG00000204510	PRAMEF7		
ENSMUSG00000094836	ENSMUSG00000094836.2	ENSG00000279169	PRAMEF13		
ENSMUSG00000094836	ENSMUSG00000094836.2	ENSG00000270601	PRAMEF5		
ENSMUSG00000094836	ENSMUSG00000094836.2	ENSG00000237700	PRAMEF33		
ENSMUSG00000094836	ENSMUSG00000094836.2	ENSG00000274764	PRAMEF27		
ENSMUSG00000094303	ENSMUSG00000094303.2	ENSG00000204501	PRAMEF15		
ENSMUSG00000094303	ENSMUSG00000094303.2	ENSG00000120952	PRAMEF2		
ENSMUSG00000094303	ENSMUSG00000094303.2	ENSG00000204505	PRAMEF9		
ENSMUSG00000094303	ENSMUSG00000094303.2	ENSG00000280267	PRAMEF26		
ENSMUSG00000094303	ENSMUSG00000094303.2	ENSG00000204479	PRAMEF17		
ENSMUSG00000094303	ENSMUSG00000094303.2	ENSG00000204480	PRAMEF19		
ENSMUSG00000094303	ENSMUSG00000094303.2	ENSG00000232423	PRAMEF6		
ENSMUSG00000094303	ENSMUSG00000094303.2	ENSG00000204478	PRAMEF20		
ENSMUSG00000094303	ENSMUSG00000094303.2	ENSG00000279804	PRAMEF18		
ENSMUSG00000094303	ENSMUSG00000094303.2	ENSG00000187545	PRAMEF10		
ENSMUSG00000094303	ENSMUSG00000094303.2	ENSG00000182330	PRAMEF8		
ENSMUSG00000094303	ENSMUSG00000094303.2	ENSG00000116721	PRAMEF1		
ENSMUSG00000094303	ENSMUSG00000094303.2	ENSG00000116726	PRAMEF12		
ENSMUSG00000094303	ENSMUSG00000094303.2	ENSG00000229571	PRAMEF25		
ENSMUSG00000094303	ENSMUSG00000094303.2	ENSG00000204481	PRAMEF14		
ENSMUSG00000094303	ENSMUSG00000094303.2	ENSG00000243073	PRAMEF4		
ENSMUSG00000094303	ENSMUSG00000094303.2	ENSG00000239810	PRAMEF11		
ENSMUSG00000094303	ENSMUSG00000094303.2	ENSG00000204510	PRAMEF7		
ENSMUSG00000094303	ENSMUSG00000094303.2	ENSG00000279169	PRAMEF13		
ENSMUSG00000094303	ENSMUSG00000094303.2	ENSG00000270601	PRAMEF5		
ENSMUSG00000094303	ENSMUSG00000094303.2	ENSG00000237700	PRAMEF33		
ENSMUSG00000094303	ENSMUSG00000094303.2	ENSG00000274764	PRAMEF27		
ENSMUSG00000079808	ENSMUSG00000079808.4	ENSG00000135899	SP110		
ENSMUSG00000074720	ENSMUSG00000074720.2	ENSG00000204501	PRAMEF15		
ENSMUSG00000074720	ENSMUSG00000074720.2	ENSG00000120952	PRAMEF2		
ENSMUSG00000074720	ENSMUSG00000074720.2	ENSG00000204505	PRAMEF9		
ENSMUSG00000074720	ENSMUSG00000074720.2	ENSG00000280267	PRAMEF26		
ENSMUSG00000074720	ENSMUSG00000074720.2	ENSG00000204479	PRAMEF17		
ENSMUSG00000074720	ENSMUSG00000074720.2	ENSG00000204480	PRAMEF19		
ENSMUSG00000074720	ENSMUSG00000074720.2	ENSG00000232423	PRAMEF6		
ENSMUSG00000074720	ENSMUSG00000074720.2	ENSG00000204478	PRAMEF20		
ENSMUSG00000074720	ENSMUSG00000074720.2	ENSG00000279804	PRAMEF18		
ENSMUSG00000074720	ENSMUSG00000074720.2	ENSG00000187545	PRAMEF10		
ENSMUSG00000074720	ENSMUSG00000074720.2	ENSG00000182330	PRAMEF8		
ENSMUSG00000074720	ENSMUSG00000074720.2	ENSG00000116721	PRAMEF1		
ENSMUSG00000074720	ENSMUSG00000074720.2	ENSG00000116726	PRAMEF12		
ENSMUSG00000074720	ENSMUSG00000074720.2	ENSG00000229571	PRAMEF25		
ENSMUSG00000074720	ENSMUSG00000074720.2	ENSG00000204481	PRAMEF14		
ENSMUSG00000074720	ENSMUSG00000074720.2	ENSG00000243073	PRAMEF4		
ENSMUSG00000074720	ENSMUSG00000074720.2	ENSG00000239810	PRAMEF11		
ENSMUSG00000074720	ENSMUSG00000074720.2	ENSG00000204510	PRAMEF7		
ENSMUSG00000074720	ENSMUSG00000074720.2	ENSG00000279169	PRAMEF13		
ENSMUSG00000074720	ENSMUSG00000074720.2	ENSG00000270601	PRAMEF5		
ENSMUSG00000074720	ENSMUSG00000074720.2	ENSG00000237700	PRAMEF33		
ENSMUSG00000074720	ENSMUSG00000074720.2	ENSG00000274764	PRAMEF27		
ENSMUSG00000096236	ENSMUSG00000096236.2	ENSG00000204501	PRAMEF15		
ENSMUSG00000096236	ENSMUSG00000096236.2	ENSG00000120952	PRAMEF2		
ENSMUSG00000096236	ENSMUSG00000096236.2	ENSG00000204505	PRAMEF9		
ENSMUSG00000096236	ENSMUSG00000096236.2	ENSG00000280267	PRAMEF26		
ENSMUSG00000096236	ENSMUSG00000096236.2	ENSG00000204479	PRAMEF17		
ENSMUSG00000096236	ENSMUSG00000096236.2	ENSG00000204480	PRAMEF19		
ENSMUSG00000096236	ENSMUSG00000096236.2	ENSG00000232423	PRAMEF6		
ENSMUSG00000096236	ENSMUSG00000096236.2	ENSG00000204478	PRAMEF20		
ENSMUSG00000096236	ENSMUSG00000096236.2	ENSG00000279804	PRAMEF18		
ENSMUSG00000096236	ENSMUSG00000096236.2	ENSG00000187545	PRAMEF10		
ENSMUSG00000096236	ENSMUSG00000096236.2	ENSG00000182330	PRAMEF8		
ENSMUSG00000096236	ENSMUSG00000096236.2	ENSG00000116721	PRAMEF1		
ENSMUSG00000096236	ENSMUSG00000096236.2	ENSG00000116726	PRAMEF12		
ENSMUSG00000096236	ENSMUSG00000096236.2	ENSG00000229571	PRAMEF25		
ENSMUSG00000096236	ENSMUSG00000096236.2	ENSG00000204481	PRAMEF14		
ENSMUSG00000096236	ENSMUSG00000096236.2	ENSG00000243073	PRAMEF4		
ENSMUSG00000096236	ENSMUSG00000096236.2	ENSG00000239810	PRAMEF11		
ENSMUSG00000096236	ENSMUSG00000096236.2	ENSG00000204510	PRAMEF7		
ENSMUSG00000096236	ENSMUSG00000096236.2	ENSG00000279169	PRAMEF13		
ENSMUSG00000096236	ENSMUSG00000096236.2	ENSG00000270601	PRAMEF5		
ENSMUSG00000096236	ENSMUSG00000096236.2	ENSG00000237700	PRAMEF33		
ENSMUSG00000096236	ENSMUSG00000096236.2	ENSG00000274764	PRAMEF27		
ENSMUSG00000095092	ENSMUSG00000095092.2	ENSG00000135899	SP110		
ENSMUSG00000094874	ENSMUSG00000094874.2	ENSG00000135899	SP110		
ENSMUSG00000094383	ENSMUSG00000094383.2	ENSG00000204501	PRAMEF15		
ENSMUSG00000094383	ENSMUSG00000094383.2	ENSG00000120952	PRAMEF2		
ENSMUSG00000094383	ENSMUSG00000094383.2	ENSG00000204505	PRAMEF9		
ENSMUSG00000094383	ENSMUSG00000094383.2	ENSG00000280267	PRAMEF26		
ENSMUSG00000094383	ENSMUSG00000094383.2	ENSG00000204479	PRAMEF17		
ENSMUSG00000094383	ENSMUSG00000094383.2	ENSG00000204480	PRAMEF19		
ENSMUSG00000094383	ENSMUSG00000094383.2	ENSG00000232423	PRAMEF6		
ENSMUSG00000094383	ENSMUSG00000094383.2	ENSG00000204478	PRAMEF20		
ENSMUSG00000094383	ENSMUSG00000094383.2	ENSG00000279804	PRAMEF18		
ENSMUSG00000094383	ENSMUSG00000094383.2	ENSG00000187545	PRAMEF10		
ENSMUSG00000094383	ENSMUSG00000094383.2	ENSG00000182330	PRAMEF8		
ENSMUSG00000094383	ENSMUSG00000094383.2	ENSG00000116721	PRAMEF1		
ENSMUSG00000094383	ENSMUSG00000094383.2	ENSG00000116726	PRAMEF12		
ENSMUSG00000094383	ENSMUSG00000094383.2	ENSG00000229571	PRAMEF25		
ENSMUSG00000094383	ENSMUSG00000094383.2	ENSG00000204481	PRAMEF14		
ENSMUSG00000094383	ENSMUSG00000094383.2	ENSG00000243073	PRAMEF4		
ENSMUSG00000094383	ENSMUSG00000094383.2	ENSG00000239810	PRAMEF11		
ENSMUSG00000094383	ENSMUSG00000094383.2	ENSG00000204510	PRAMEF7		
ENSMUSG00000094383	ENSMUSG00000094383.2	ENSG00000279169	PRAMEF13		
ENSMUSG00000094383	ENSMUSG00000094383.2	ENSG00000270601	PRAMEF5		
ENSMUSG00000094383	ENSMUSG00000094383.2	ENSG00000237700	PRAMEF33		
ENSMUSG00000094383	ENSMUSG00000094383.2	ENSG00000274764	PRAMEF27		
ENSMUSG00000096680	ENSMUSG00000096680.2	ENSG00000204501	PRAMEF15		
ENSMUSG00000096680	ENSMUSG00000096680.2	ENSG00000120952	PRAMEF2		
ENSMUSG00000096680	ENSMUSG00000096680.2	ENSG00000204505	PRAMEF9		
ENSMUSG00000096680	ENSMUSG00000096680.2	ENSG00000280267	PRAMEF26		
ENSMUSG00000096680	ENSMUSG00000096680.2	ENSG00000204479	PRAMEF17		
ENSMUSG00000096680	ENSMUSG00000096680.2	ENSG00000204480	PRAMEF19		
ENSMUSG00000096680	ENSMUSG00000096680.2	ENSG00000232423	PRAMEF6		
ENSMUSG00000096680	ENSMUSG00000096680.2	ENSG00000204478	PRAMEF20		
ENSMUSG00000096680	ENSMUSG00000096680.2	ENSG00000279804	PRAMEF18		
ENSMUSG00000096680	ENSMUSG00000096680.2	ENSG00000187545	PRAMEF10		
ENSMUSG00000096680	ENSMUSG00000096680.2	ENSG00000182330	PRAMEF8		
ENSMUSG00000096680	ENSMUSG00000096680.2	ENSG00000116721	PRAMEF1		
ENSMUSG00000096680	ENSMUSG00000096680.2	ENSG00000116726	PRAMEF12		
ENSMUSG00000096680	ENSMUSG00000096680.2	ENSG00000229571	PRAMEF25		
ENSMUSG00000096680	ENSMUSG00000096680.2	ENSG00000204481	PRAMEF14		
ENSMUSG00000096680	ENSMUSG00000096680.2	ENSG00000243073	PRAMEF4		
ENSMUSG00000096680	ENSMUSG00000096680.2	ENSG00000239810	PRAMEF11		
ENSMUSG00000096680	ENSMUSG00000096680.2	ENSG00000204510	PRAMEF7		
ENSMUSG00000096680	ENSMUSG00000096680.2	ENSG00000279169	PRAMEF13		
ENSMUSG00000096680	ENSMUSG00000096680.2	ENSG00000270601	PRAMEF5		
ENSMUSG00000096680	ENSMUSG00000096680.2	ENSG00000237700	PRAMEF33		
ENSMUSG00000096680	ENSMUSG00000096680.2	ENSG00000274764	PRAMEF27		
ENSMUSG00000095728	ENSMUSG00000095728.2	ENSG00000204501	PRAMEF15		
ENSMUSG00000095728	ENSMUSG00000095728.2	ENSG00000120952	PRAMEF2		
ENSMUSG00000095728	ENSMUSG00000095728.2	ENSG00000204505	PRAMEF9		
ENSMUSG00000095728	ENSMUSG00000095728.2	ENSG00000280267	PRAMEF26		
ENSMUSG00000095728	ENSMUSG00000095728.2	ENSG00000204479	PRAMEF17		
ENSMUSG00000095728	ENSMUSG00000095728.2	ENSG00000204480	PRAMEF19		
ENSMUSG00000095728	ENSMUSG00000095728.2	ENSG00000232423	PRAMEF6		
ENSMUSG00000095728	ENSMUSG00000095728.2	ENSG00000204478	PRAMEF20		
ENSMUSG00000095728	ENSMUSG00000095728.2	ENSG00000279804	PRAMEF18		
ENSMUSG00000095728	ENSMUSG00000095728.2	ENSG00000187545	PRAMEF10		
ENSMUSG00000095728	ENSMUSG00000095728.2	ENSG00000182330	PRAMEF8		
ENSMUSG00000095728	ENSMUSG00000095728.2	ENSG00000116721	PRAMEF1		
ENSMUSG00000095728	ENSMUSG00000095728.2	ENSG00000116726	PRAMEF12		
ENSMUSG00000095728	ENSMUSG00000095728.2	ENSG00000229571	PRAMEF25		
ENSMUSG00000095728	ENSMUSG00000095728.2	ENSG00000204481	PRAMEF14		
ENSMUSG00000095728	ENSMUSG00000095728.2	ENSG00000243073	PRAMEF4		
ENSMUSG00000095728	ENSMUSG00000095728.2	ENSG00000239810	PRAMEF11		
ENSMUSG00000095728	ENSMUSG00000095728.2	ENSG00000204510	PRAMEF7		
ENSMUSG00000095728	ENSMUSG00000095728.2	ENSG00000279169	PRAMEF13		
ENSMUSG00000095728	ENSMUSG00000095728.2	ENSG00000270601	PRAMEF5		
ENSMUSG00000095728	ENSMUSG00000095728.2	ENSG00000237700	PRAMEF33		
ENSMUSG00000095728	ENSMUSG00000095728.2	ENSG00000274764	PRAMEF27		
ENSMUSG00000094337	ENSMUSG00000094337.8	ENSG00000204501	PRAMEF15		
ENSMUSG00000094337	ENSMUSG00000094337.8	ENSG00000120952	PRAMEF2		
ENSMUSG00000094337	ENSMUSG00000094337.8	ENSG00000204505	PRAMEF9		
ENSMUSG00000094337	ENSMUSG00000094337.8	ENSG00000280267	PRAMEF26		
ENSMUSG00000094337	ENSMUSG00000094337.8	ENSG00000204479	PRAMEF17		
ENSMUSG00000094337	ENSMUSG00000094337.8	ENSG00000204480	PRAMEF19		
ENSMUSG00000094337	ENSMUSG00000094337.8	ENSG00000232423	PRAMEF6		
ENSMUSG00000094337	ENSMUSG00000094337.8	ENSG00000204478	PRAMEF20		
ENSMUSG00000094337	ENSMUSG00000094337.8	ENSG00000279804	PRAMEF18		
ENSMUSG00000094337	ENSMUSG00000094337.8	ENSG00000187545	PRAMEF10		
ENSMUSG00000094337	ENSMUSG00000094337.8	ENSG00000182330	PRAMEF8		
ENSMUSG00000094337	ENSMUSG00000094337.8	ENSG00000116721	PRAMEF1		
ENSMUSG00000094337	ENSMUSG00000094337.8	ENSG00000116726	PRAMEF12		
ENSMUSG00000094337	ENSMUSG00000094337.8	ENSG00000229571	PRAMEF25		
ENSMUSG00000094337	ENSMUSG00000094337.8	ENSG00000204481	PRAMEF14		
ENSMUSG00000094337	ENSMUSG00000094337.8	ENSG00000243073	PRAMEF4		
ENSMUSG00000094337	ENSMUSG00000094337.8	ENSG00000239810	PRAMEF11		
ENSMUSG00000094337	ENSMUSG00000094337.8	ENSG00000204510	PRAMEF7		
ENSMUSG00000094337	ENSMUSG00000094337.8	ENSG00000279169	PRAMEF13		
ENSMUSG00000094337	ENSMUSG00000094337.8	ENSG00000270601	PRAMEF5		
ENSMUSG00000094337	ENSMUSG00000094337.8	ENSG00000237700	PRAMEF33		
ENSMUSG00000094337	ENSMUSG00000094337.8	ENSG00000274764	PRAMEF27		
ENSMUSG00000096756	ENSMUSG00000096756.2	ENSG00000204501	PRAMEF15		
ENSMUSG00000096756	ENSMUSG00000096756.2	ENSG00000120952	PRAMEF2		
ENSMUSG00000096756	ENSMUSG00000096756.2	ENSG00000204505	PRAMEF9		
ENSMUSG00000096756	ENSMUSG00000096756.2	ENSG00000280267	PRAMEF26		
ENSMUSG00000096756	ENSMUSG00000096756.2	ENSG00000204479	PRAMEF17		
ENSMUSG00000096756	ENSMUSG00000096756.2	ENSG00000204480	PRAMEF19		
ENSMUSG00000096756	ENSMUSG00000096756.2	ENSG00000232423	PRAMEF6		
ENSMUSG00000096756	ENSMUSG00000096756.2	ENSG00000204478	PRAMEF20		
ENSMUSG00000096756	ENSMUSG00000096756.2	ENSG00000279804	PRAMEF18		
ENSMUSG00000096756	ENSMUSG00000096756.2	ENSG00000187545	PRAMEF10		
ENSMUSG00000096756	ENSMUSG00000096756.2	ENSG00000182330	PRAMEF8		
ENSMUSG00000096756	ENSMUSG00000096756.2	ENSG00000116721	PRAMEF1		
ENSMUSG00000096756	ENSMUSG00000096756.2	ENSG00000116726	PRAMEF12		
ENSMUSG00000096756	ENSMUSG00000096756.2	ENSG00000229571	PRAMEF25		
ENSMUSG00000096756	ENSMUSG00000096756.2	ENSG00000204481	PRAMEF14		
ENSMUSG00000096756	ENSMUSG00000096756.2	ENSG00000243073	PRAMEF4		
ENSMUSG00000096756	ENSMUSG00000096756.2	ENSG00000239810	PRAMEF11		
ENSMUSG00000096756	ENSMUSG00000096756.2	ENSG00000204510	PRAMEF7		
ENSMUSG00000096756	ENSMUSG00000096756.2	ENSG00000279169	PRAMEF13		
ENSMUSG00000096756	ENSMUSG00000096756.2	ENSG00000270601	PRAMEF5		
ENSMUSG00000096756	ENSMUSG00000096756.2	ENSG00000237700	PRAMEF33		
ENSMUSG00000096756	ENSMUSG00000096756.2	ENSG00000274764	PRAMEF27		
ENSMUSG00000095505	ENSMUSG00000095505.2	ENSG00000204501	PRAMEF15		
ENSMUSG00000095505	ENSMUSG00000095505.2	ENSG00000120952	PRAMEF2		
ENSMUSG00000095505	ENSMUSG00000095505.2	ENSG00000204505	PRAMEF9		
ENSMUSG00000095505	ENSMUSG00000095505.2	ENSG00000280267	PRAMEF26		
ENSMUSG00000095505	ENSMUSG00000095505.2	ENSG00000204479	PRAMEF17		
ENSMUSG00000095505	ENSMUSG00000095505.2	ENSG00000204480	PRAMEF19		
ENSMUSG00000095505	ENSMUSG00000095505.2	ENSG00000232423	PRAMEF6		
ENSMUSG00000095505	ENSMUSG00000095505.2	ENSG00000204478	PRAMEF20		
ENSMUSG00000095505	ENSMUSG00000095505.2	ENSG00000279804	PRAMEF18		
ENSMUSG00000095505	ENSMUSG00000095505.2	ENSG00000187545	PRAMEF10		
ENSMUSG00000095505	ENSMUSG00000095505.2	ENSG00000182330	PRAMEF8		
ENSMUSG00000095505	ENSMUSG00000095505.2	ENSG00000116721	PRAMEF1		
ENSMUSG00000095505	ENSMUSG00000095505.2	ENSG00000116726	PRAMEF12		
ENSMUSG00000095505	ENSMUSG00000095505.2	ENSG00000229571	PRAMEF25		
ENSMUSG00000095505	ENSMUSG00000095505.2	ENSG00000204481	PRAMEF14		
ENSMUSG00000095505	ENSMUSG00000095505.2	ENSG00000243073	PRAMEF4		
ENSMUSG00000095505	ENSMUSG00000095505.2	ENSG00000239810	PRAMEF11		
ENSMUSG00000095505	ENSMUSG00000095505.2	ENSG00000204510	PRAMEF7		
ENSMUSG00000095505	ENSMUSG00000095505.2	ENSG00000279169	PRAMEF13		
